,Mchow.1,Mchow.2,Mchow.3,Mchow.4,Mhi5.1,Mhi5.2,Mhi5.3,Mhi5.4,Mhi42.1,Mhi42.2,Mhi42.3,Mhi42.4
0610005C13RIK,6.518,6.283,6.302,6.489,6.352,6.142,6.203,5.982,6.471,6.179,6.428,6.494
0610006L08RIK,6.538,6.816,6.614,6.716,6.675000001,6.386,6.783,6.676,6.627,6.827000001,6.724,6.546
0610007P14RIK,8.219,8.253,8.183,8.396,8.056,8.088,8.244,8.161,8.241,8.284,8.229,8.303
0610009B22RIK,11.154,11.042,11.162,11.057,11.184,11.339,11.248,11.204,11.175,11.194,11.257,11.3
0610009L18RIK,10.413,10.219,10.58,10.072,10.334,10.48,10.417,10.394,10.004,10.106,10.12,10.097
0610009O20RIK,9.452,9.329,9.4495,9.34,9.279,9.303,9.334,9.2745,9.324,9.193,9.287,9.3095
0610010F05RIK,8.727,8.564,8.609,8.5435,8.72,8.7425,8.7635,8.813,8.716,8.742,8.7145,8.8985
0610011F06RIK,10.213,10.226,10.507,10.139,10.291,10.303,10.4145,10.3395,10.126,10.099,10.1035,10.253
0610012G03RIK,10.989,11.041,11.179,10.873,11,11.097,11.121,11.048,10.826,10.847,10.916,10.974
0610025J13RIK,7.425,7.253,7.331,7.125,7.233,7.121,7.156,7.251,7.227,7.203,7.206,7.138
0610030E20RIK,8.872,8.7295,8.867,8.9125,8.8365,8.834,8.809,8.765,8.7595,8.726,8.7945,8.784
0610033M10RIK,7.762,7.521,7.465,7.517,7.544,7.307,7.534,7.427,7.59,7.675,7.565,7.567
0610037L13RIK,8.361,8.384,8.38,8.476,8.479,8.38,8.411,8.403,8.38,8.313,8.401,8.337
0610038B21RIK,8.362,7.97,8.093,8.058,8.135,7.972,8.105,8.021,8.168,8.096,8.139,8.067
0610039K10RIK,6.416,6.178,6.233,6.238,6.25,6.064,6.238,6.19,6.301,6.196,6.268,6.207
0610040A22RIK,6.131,6.019,6.043,6.025,6.017,5.809,5.589,5.702,6.118,5.993,6.105,5.948
0610040B10RIK,6.7385,6.784,6.7785,6.7385,6.7595,6.711,6.913,6.852,6.6925,6.6205,6.7345,6.779
0610040F04RIK,9.03,8.919,8.982,9.081,8.934,8.808,8.881,8.919,9.161,9.022,9.081,9.059
0610040J01RIK,9.242,9.179,9.48,9.01,9.22,9.186,9.236,9.158,9.013,9.094,9.155,9.194
0610042E11RIK,6.29,6.3945,6.2715,6.273,6.2215,6.1595,6.2225,6.2535,6.252,6.258,6.3905,6.2975
0710001A04RIK,6.548,6.495,6.468,6.431,6.321,6.27,6.16,6.464,6.708000001,6.464,6.376,6.493
0710001D07RIK,7.706,7.714,7.819,7.698,7.616,7.712,7.715,7.6,7.658,7.437,7.66,7.581
1010001B22RIK,8.183,8.121,8.087,8.222,8.259,8.162,8.146,8.245,8.141,8.166,8.321,8.225
1010001I08RIK,5.466,5.369,5.466,5.258,5.553,5.403,5.466,5.466,5.466,5.4,5.603,5.499
1110001J03RIK,12.034,11.932,12.102,11.82,11.975,12.072,12.011,11.975,11.807,11.772,11.923,11.967
1110002L01RIK,7.886,7.827,7.838,7.816,7.816,7.941,7.928,7.762,7.779,7.767,7.659,7.816
1110003F02RIK,9.244,9.027,9.107,9.123,9.037,8.93,8.91,8.821,9.131,9.213,9.168,9.081
1110004E09RIK,9.108,9.2295,9.1955,9.1,9.016,8.902,9.1145,8.886,9.036,8.908,9.0715,9.035
1110004F10RIK,10.465,10.324,10.399,10.203,10.449,10.523,10.427,10.475,10.57,10.583,10.523,10.641
